,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
12022,1,789096,1,710,3407460,2,3,13601.34,9.5,0,5,0,183749,401456,0,0
66926,1,789096,1,662,2112629,0,1,39541.28,17.5,12,16,0,563844,766282,0,0
76954,1,789096,1,695,3863080,0,3,42493.88,19.7,3,13,0,536959,712184,0,0
43498,1,789030,1,719,2375247,0,1,54630.89,16.8,0,11,0,569677,1208108,0,0
4279,1,788942,1,664,3309458,2,3,28406.33,12.6,18,6,0,633308,1126422,0,0
42624,1,788942,1,610,2141414,0,3,2177.02,22.7,63,2,1,75753,153318,0,0
58722,1,788788,1,667,2238314,0,1,51294.68,17.1,0,15,0,1154611,1428328,0,0
1853,1,788634,1,683,1731926,0,1,25834.49,30.9,0,18,0,881524,1883244,0,0
67130,1,788634,0,717,3891960,2,1,33081.66,12.5,30,9,0,718276,1707794,0,0
51309,1,788326,1,691,4007157,2,0,50423.34,17.7,13,10,0,203718,472736,0,0
40213,1,788018,1,673,2333352,2,1,36750.37,11.8,0,16,0,560158,720676,0,0
4544,1,787952,1,665,1558627,0,1,23509.27,21.8,0,15,0,855019,1275780,0,0
24844,1,787952,1,656,1409591,0,1,23023.44,11,0,15,0,197809,317218,0,0
5659,1,787798,1,677,3596206,0,0,31466.66,17.1,0,6,0,0,0,0,0
62667,1,787798,0,725,1631511,0,0,24880.5,16.2,0,14,0,32167,547800,0,0
10273,1,787710,1,710,2526810,2,1,67592.12,22.5,0,18,0,1116003,1418450,0,0
51638,1,787644,1,674,1651993,0,1,29460.26,23.5,0,10,0,468350,744920,0,0
83496,1,787644,0,741,6510768,1,1,37219.86,16.9,59,14,0,342513,443124,0,0
20084,1,787600,1,622,3111744,0,1,44083.04,20.8,0,9,0,602927,736406,0,0
46784,1,787556,1,687,1651822,1,1,33174,16.2,44,10,0,554762,841874,0,0
33728,1,787490,1,670,1539437,0,1,42719.6,18.1,42,14,0,731690,1802592,0,0
44611,1,787490,0,748,2914695,0,1,33081.85,18.3,0,10,0,72086,1264736,0,0
64742,1,787402,1,709,1457205,0,0,14693.46,22.6,0,17,0,41401,675224,0,0
9985,1,787094,1,739,2004329,0,4,14765.28,12,0,8,0,5776,267168,0,0
72844,1,787094,0,695,3457088,0,1,35723.04,14.9,20,13,0,841947,1392710,0,0
13588,1,786786,1,725,1844349,0,1,13433,22.5,0,14,0,495368,1550230,0,0
6921,1,786632,0,692,1863406,2,3,18168.18,10.9,0,13,0,262143,620730,0,0
15218,1,786632,1,702,1552832,0,1,27692.31,23.5,63,8,0,487179,689612,0,0
56685,1,786632,1,666,1649884,0,1,28735.6,15.8,0,14,0,421496,865348,0,0
64000,1,786566,0,734,2620157,2,1,16856.23,15.6,60,14,0,333887,1481238,0,0
72994,1,786566,0,720,2911275,2,1,50462.1,24.4,0,7,0,1069814,1191102,0,0
74081,1,786566,1,605,2037902,0,1,30738.2,17.3,0,20,0,211223,343992,0,0
2150,1,786478,0,729,2794558,0,1,51466.25,11.4,0,15,0,1027311,2022988,0,0
57161,1,786412,1,640,3298799,0,7,50856.35,20.2,26,16,0,6222785,11051106,0,0
74590,1,786412,0,671,1970357,1,1,20524.56,12.8,19,16,2,295811,565202,0,2
16914,1,786258,1,686,2037104,2,1,39044.24,32.9,0,25,0,938467,1961432,0,0
5596,1,786170,1,695,1590718,0,1,21739.8,30.5,37,20,0,438254,1199682,0,0
59009,1,786104,0,728,1745739,0,1,22258.12,19.3,0,15,0,404776,1478532,0,0
69350,1,785796,1,684,1969179,0,1,32819.65,24.9,0,13,0,2030929,3448104,0,0
77666,1,785796,1,727,2171624,0,1,23706.87,15,78,9,1,140562,417296,1,0
20718,1,785554,1,669,1899620,2,1,37833.94,30.2,19,17,0,834309,1341758,0,0
80801,1,785554,0,732,2132218,0,1,57392.16,25.9,0,27,0,1243550,2512928,0,0
25926,1,785488,0,733,3845866,0,1,36215.33,19.2,0,17,0,777404,1660802,0,0
57049,1,785488,0,735,2907285,0,0,21780.46,28.9,0,9,0,434834,1304380,0,0
59322,1,785400,0,696,2810100,0,1,39341.4,10.5,0,10,0,488775,809688,0,0
76408,1,785246,0,740,5812860,2,1,9252.05,18.4,68,4,1,440971,652916,0,1
40109,1,785180,1,687,3196769,1,1,62869.67,16.6,29,21,0,395770,964766,0,0
5476,1,784938,1,662,1685072,0,1,29769.58,19.6,34,17,0,331037,650760,0,0
28487,1,784938,1,707,3466987,0,1,68761.76,22.9,0,10,0,421211,506990,0,0
37584,1,784938,1,669,1258959,0,1,17310.71,32.7,2,9,0,132259,336600,0,0
74356,1,784872,0,720,2905005,0,1,23821.06,12.7,0,11,0,125970,824010,0,0
15045,1,784784,1,691,3001544,0,1,71786.94,22.7,17,22,0,731348,1040336,0,0
19367,1,784718,1,696,1936290,0,1,25171.77,14,18,15,0,444714,1988140,0,0
28814,1,784718,1,718,2129919,0,1,32303.8,28.5,16,9,0,1494388,2144186,0,0
41359,1,784630,1,643,4840250,2,3,15488.8,23,33,9,0,509713,725956,0,0
54438,1,784630,1,683,1980636,2,1,48525.43,15.8,0,15,0,512468,762696,0,0
5087,1,784564,0,703,2768357,0,1,26991.4,22.5,0,13,0,470630,980122,0,0
70568,1,784564,1,726,3000670,0,4,29006.35,21.7,5,29,0,277476,2262590,0,0
26539,1,784322,1,655,1838573,1,9,10709.73,16.5,54,12,0,135014,434236,0,0
42710,1,784322,1,670,1838573,0,1,24667.51,18.4,78,15,0,191387,392238,0,0
45301,1,784256,1,679,2902725,0,0,41605.82,19.3,2,7,1,81225,203984,0,0
49460,1,784168,0,730,2418700,2,1,61676.85,16.1,8,15,0,506293,761354,0,0
36243,1,784014,1,738,1934580,0,1,13461.31,17.8,0,8,0,716832,1138588,0,0
7164,1,783860,1,691,2707880,0,1,60701.58,39.7,0,19,0,887034,1405052,0,0
83024,1,783794,0,708,2320812,0,1,20693.85,28.9,13,7,0,339606,427900,0,0
57231,1,783706,1,706,4119029,0,1,17711.8,24.5,13,7,0,110314,206008,0,0
58771,1,783398,0,730,2976920,0,1,90051.64,33.4,0,12,0,554971,928598,0,0
19197,1,783332,1,600,1720260,0,1,19926.25,17.5,30,7,0,364895,447568,0,0
36604,1,783332,0,701,1577228,0,1,31807.33,13.4,0,14,0,296191,541816,0,0
46713,1,783332,1,709,1372332,2,1,25731.32,15.8,26,9,0,588335,1302532,0,0
8435,1,783244,0,732,2512484,0,1,42921.57,18.1,0,18,0,801002,1013628,0,0
21423,1,783244,1,591,1584790,0,1,25224.78,13.2,38,10,0,308503,498872,0,0
47117,1,783178,1,615,1545992,2,0,30017.91,22.4,36,7,0,163362,304084,0,0
70899,1,783178,1,663,2492914,2,1,43210.56,16.3,0,11,0,757188,950928,0,0
44963,1,783024,0,697,3014084,0,8,43202.01,17.6,44,15,0,459097,672870,0,0
33921,1,782936,1,698,2318304,2,1,43854.66,10.1,0,17,0,856520,1523434,0,0
83577,1,782870,1,669,2704422,2,1,37411.19,20.1,7,25,0,678148,3115992,0,0
3394,1,782782,1,668,2410568,0,1,44796.3,32.1,35,22,0,741285,912142,0,0
55756,1,782782,0,738,3090464,0,1,78549.42,22,50,21,0,707313,1574980,0,0
45557,1,782562,1,650,2761289,0,4,34746.25,14,53,12,0,312094,496408,0,0
43636,1,782474,1,705,2201093,0,1,46222.82,26,24,20,0,625993,1118590,0,0
75164,1,782474,0,707,2413475,0,1,49476.19,13.9,0,13,0,856311,1120372,0,0
74899,1,782408,1,690,2702826,0,1,31983.46,15.3,0,15,0,780064,1146222,0,0
10635,1,782166,0,745,3338927,2,1,58153.11,28,0,12,0,1626039,2009392,0,0
45109,1,782166,1,670,1582624,0,1,18727.54,19.8,28,8,1,124678,221078,1,0
46236,1,782012,1,651,1736676,0,1,24458.13,21.1,0,14,0,833283,1400366,0,0
53887,1,782012,0,734,1543712,0,1,38978.69,20,0,20,0,1425323,2485494,0,0
8139,1,781858,1,697,9163985,2,8,32761.32,15,0,12,0,16530,797676,0,0
2795,1,781792,0,714,1794037,0,1,20332.47,14.4,0,12,1,130530,465014,0,1
29761,1,781792,0,744,3086512,1,1,34466.19,13.5,31,21,0,162184,816442,0,0
35764,1,781792,1,654,1736163,2,1,11473.15,14.3,52,9,0,328263,462418,0,0
70274,1,781792,1,676,2893605,0,1,58113.21,23,26,13,0,1288504,1720818,0,0
78575,1,781792,1,662,2179851,0,1,45776.89,15.9,54,12,0,973978,1555554,0,0
11392,1,781704,1,699,2198927,2,1,28219.56,16.8,0,12,3,263568,448778,1,2
68840,1,781704,0,612,1928880,2,1,45971.64,14,0,9,0,416746,580690,0,0
63711,1,781638,1,733,1542952,1,1,26744.59,15.6,0,13,1,181488,1859682,0,0
75676,1,781638,0,693,1832265,0,1,25193.43,24.5,48,8,0,899118,1353814,0,0
6177,1,781484,0,720,2313972,2,1,27767.74,18.5,69,22,0,834898,2956360,0,0
13769,1,781484,1,681,1639073,0,1,40840.12,12.4,0,10,0,796651,940280,0,0
51228,1,781484,0,725,2410397,0,1,31736.65,19.7,70,14,0,272004,621214,0,0
53994,1,781396,1,628,1542496,1,1,13625.47,27.4,0,11,0,437931,1428394,0,0
9796,1,781176,1,619,2313060,1,1,52622.21,10.5,54,24,0,218044,591272,0,0
15303,1,781088,0,738,2910306,0,1,49960.5,26.4,0,16,0,1097915,2319856,0,0
40798,1,781088,0,691,2120096,0,3,11731.17,17.6,0,7,0,21071,443498,0,0
60131,1,781088,1,687,2120096,0,1,20140.95,21.3,29,8,0,239343,394768,0,0
77906,1,781088,0,656,2775406,2,4,36542.7,23.9,0,5,0,1246267,1541716,0,0
430,1,781022,1,653,2004253,0,1,35993.22,26.4,48,17,0,622554,1115862,0,0
30699,1,781022,1,719,1907904,0,1,23053.84,29.4,2,12,1,638267,1193918,0,1
18040,1,780934,1,722,3853960,0,1,22449.26,20.6,13,15,0,760019,2013792,0,0
64840,1,780934,0,713,1522318,0,1,16491.62,33.6,20,8,0,104481,254166,0,0
63571,1,780780,0,682,3178890,0,1,19709.08,12,0,10,0,613491,772134,0,0
64319,1,780780,0,735,4431180,0,1,52804.8,27.5,0,13,3,789127,1211870,0,3
79225,1,780714,1,698,2793304,2,4,279.3,10.1,0,3,0,4427,90002,0,0
30018,1,780626,0,736,2118842,1,1,52441.33,14.5,24,19,0,495672,1295580,0,0
52497,1,780626,0,691,2696708,2,1,29214.4,15.6,53,9,0,742938,1001462,0,0
1325,1,780560,1,614,1637135,1,0,43383.84,25.7,30,10,1,265354,618200,0,1
71379,1,780406,1,703,2407072,0,3,46335.87,31.2,0,16,0,630325,1003926,0,0
53975,1,780252,1,683,3561759,2,1,48350.82,19.8,32,6,0,1017811,1821512,0,0
40387,1,780098,1,706,2089468,2,1,27511.24,34.5,0,11,0,1018723,1752718,0,0
80343,1,780098,0,738,2925829,0,1,38523.45,28,14,19,0,537396,809160,0,0
77212,1,779944,0,712,1655071,0,1,40273.73,14,10,9,0,316597,441144,0,0
69754,1,779636,1,690,1346625,2,1,39725.39,13.8,0,10,0,908428,1234596,0,0
32047,1,779394,1,732,1827021,0,3,14859.9,12,0,7,0,209,244948,0,0
34117,1,779394,1,645,2115498,0,1,34200.57,14.8,0,20,0,726503,993168,0,0
38430,1,779328,1,693,2344125,0,1,56063.68,31,0,10,0,885229,1123914,0,0
48127,1,779328,1,634,1634551,2,1,30102.84,19.1,0,8,0,610337,801240,0,0
16145,1,779240,1,701,2115080,0,1,26790.95,13.2,68,9,0,652384,983576,0,0
22395,1,779240,1,695,1922800,0,1,31726.2,15.7,66,16,0,374642,585420,0,0
20099,1,779174,1,660,1382858,0,1,32036.28,17.1,0,16,0,838660,1117468,0,0
43656,1,779086,1,724,1730178,0,1,28403.67,10.6,0,10,0,257051,855250,0,0
61977,1,779020,1,657,3075568,2,1,24758.33,15.7,0,6,0,82384,355960,0,0
44822,1,778712,1,601,2086713,2,1,36865.32,16.1,0,12,0,968943,1232880,0,0
81425,1,778712,1,727,1921470,0,1,32985.33,36.3,30,13,0,765054,1554124,0,0
61327,1,778624,0,726,1793771,2,1,13812.05,17.6,0,9,0,453207,809842,0,0
77935,1,778558,1,694,1690563,0,1,23245.17,17.2,0,7,0,620065,804914,0,0
16439,1,778470,1,633,1919931,2,1,30878.99,31.1,0,23,0,894976,2000526,0,0
70591,1,778470,1,671,2842932,0,1,58280.03,15,0,14,0,631484,944680,0,0
40226,1,778404,0,705,2881065,2,3,12100.53,28.8,0,11,0,330600,513810,0,0
16846,1,778316,0,705,1440390,0,1,36609.96,16.9,23,17,0,895128,1400630,0,0
64006,1,778316,1,673,1824494,0,1,32384.74,12.8,0,17,0,910233,1104774,0,0
5914,1,778096,1,619,1919950,0,1,16319.67,17.7,3,14,0,527041,1763762,0,0
21750,1,778096,1,725,1727955,0,1,30959.17,17.4,0,11,0,652688,1526756,0,0
11018,1,778008,1,669,2591676,0,1,31532.02,22,80,7,0,323114,615362,0,0
61288,1,777942,0,723,2207515,0,1,10412.19,12,73,10,0,277058,519926,0,0
75285,1,777854,1,698,1823411,0,1,42698.13,17,53,22,0,536370,1008216,0,0
7435,1,777700,1,662,1727100,2,1,16983.15,15.5,0,10,0,565877,695574,0,0
69856,1,777700,0,686,3070400,0,3,12102.62,13.6,10,14,0,192299,495902,0,0
23652,1,777480,0,682,2187014,0,1,36267.96,25.8,0,17,0,744306,1530782,0,0
44104,1,777480,0,700,1400452,1,1,14238.03,12.8,0,7,0,263872,375364,0,0
52050,1,777480,1,687,1513616,2,1,23208.69,16.8,36,19,0,334381,1112584,0,0
55655,1,777480,1,692,3549105,0,1,112683.87,21.3,36,24,0,2496790,3454022,0,0
68401,1,777480,0,729,2110273,0,4,16934.89,12.4,0,17,0,497914,1871826,0,0
27925,1,777392,0,701,3261008,2,1,37501.63,12.8,0,8,1,484329,963578,0,1
31630,1,777392,1,696,2110064,1,1,30771.83,17,0,18,0,835487,1808246,0,0
3693,1,777238,1,695,3356255,0,0,42792.18,17.2,0,20,0,5176018,54484386,0,0
22906,1,777238,0,731,7191975,0,3,42792.18,15.7,34,10,1,116071,399982,1,0
81549,1,777238,1,692,3222001,0,3,48061.64,31.7,0,14,0,1010477,1498112,0,0
84992,1,777084,1,663,1975012,0,1,43450.15,13.7,0,16,0,783256,963776,0,0
72736,1,776930,0,745,2492230,2,1,35306.75,28.8,0,10,0,705793,1238248,0,0
74902,1,776864,0,722,1686877,0,0,12412.51,13,35,11,0,149910,545820,0,0
80091,1,776864,0,734,1495186,0,1,28159.33,29.1,0,14,0,758081,1646854,0,0
49195,1,776776,1,728,2261722,2,1,47967.4,19.5,0,13,0,121733,1247378,0,0
22786,1,776710,0,719,1533224,0,1,40247.13,14.8,0,25,0,939721,1978350,0,0
32727,1,776556,1,657,2299380,2,1,34950.5,25.4,6,4,0,248444,332970,0,0
65574,1,776556,1,648,2088613,0,1,32321.28,23.3,0,11,0,287052,372636,0,0
52644,1,776468,1,631,1915960,0,1,25290.71,21.8,0,10,0,457026,656590,0,0
13990,1,776402,1,680,1965322,0,1,35867.25,20.6,0,30,0,566447,1494020,0,0
21896,1,776160,0,729,2738736,0,1,39255.33,17,10,16,0,664715,1115444,0,0
71024,1,776160,1,688,2049264,0,1,25444.99,25.4,0,5,0,483778,594022,0,0
71837,1,776160,0,701,2623824,0,1,37608.22,13,61,11,0,439090,567446,0,0
24555,1,776006,0,741,2678829,0,1,37726.97,24.4,0,14,0,740639,980100,0,0
2957,1,775940,0,674,4786575,0,0,47865.75,14,0,9,0,893570,1215830,0,0
79541,1,775852,1,671,2775938,0,1,79808.17,37,29,20,0,1653665,2271390,0,0
8026,1,775632,0,722,4593288,0,1,44401.86,23.4,0,12,0,2764595,4325838,0,0
52350,1,775632,0,718,1531096,2,1,20159.38,39.2,58,5,0,102049,221694,0,0
64287,1,775478,1,672,2085706,0,1,17554.67,18.8,0,10,0,1097497,1418274,0,0
15274,1,775324,1,734,1874844,0,1,29685.22,24.9,0,19,0,861916,2513874,0,0
